filename,sign_id,subject,repetition,sign_name,num_frames
052_009_003.npy,52,9,3,Shut down,66
022_009_005.npy,22,9,5,Water,82
043_004_003.npy,43,4,3,Trap,69
046_008_004.npy,46,8,4,Candy,69
052_005_001.npy,52,5,1,Shut down,56
010_002_005.npy,10,2,5,Enemy,70
060_007_003.npy,60,7,3,Copy,78
050_004_004.npy,50,4,4,Accept,68
050_004_001.npy,50,4,1,Accept,64
004_003_003.npy,4,3,3,Yellow,45
039_007_003.npy,39,7,3,Name,84
006_006_005.npy,6,6,5,Light-blue,157
006_010_003.npy,6,10,3,Light-blue,108
036_005_001.npy,36,5,1,Music,65
061_005_004.npy,61,5,4,Run,82
002_008_001.npy,2,8,1,Red,77
033_009_002.npy,33,9,2,Hungry,67
017_009_003.npy,17,9,3,Call,63
013_002_001.npy,13,2,1,Away,34
017_007_001.npy,17,7,1,Call,58
032_002_003.npy,32,2,3,Photo,66
025_008_001.npy,25,8,1,Uruguay,76
046_006_004.npy,46,6,4,Candy,102
058_003_005.npy,58,3,5,Bathe,96
033_010_001.npy,33,10,1,Hungry,144
035_003_005.npy,35,3,5,Coin,62
019_004_005.npy,19,4,5,Bitter,64
018_004_004.npy,18,4,4,Skimmer,69
035_002_003.npy,35,2,3,Coin,115
053_005_005.npy,53,5,5,Appear,68
058_008_005.npy,58,8,5,Bathe,88
062_009_005.npy,62,9,5,Realize,72
014_010_004.npy,14,10,4,Drawer,38
003_008_005.npy,3,8,5,Green,76
020_007_005.npy,20,7,5,Sweet milk,34
021_010_004.npy,21,10,4,Milk,69
036_006_001.npy,36,6,1,Music,112
060_002_001.npy,60,2,1,Copy,80
015_003_001.npy,15,3,1,Born,46
017_007_002.npy,17,7,2,Call,44
015_010_001.npy,15,10,1,Born,25
040_001_005.npy,40,1,5,Patience,94
018_003_001.npy,18,3,1,Skimmer,72
007_005_002.npy,7,5,2,Colors,53
026_002_003.npy,26,2,3,Country,164
017_005_004.npy,17,5,4,Call,42
059_009_004.npy,59,9,4,Buy,68
